"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Egypt, Arab Rep.","EGY","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.7885338345865","","","","","","","","","","","","","","",
"Euro area","EMU","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","2002.51041517294","1767.38557414432","","","","","","","","","","","","","","","","","","","35.1323224073939","35.1651172661429","36.9841335302621","46.6988223183047","48.1046368231163","57.8835714900651","64.2155121043918","64.0097209413511","64.257825472763","59.1573805286779","56.4165675597404","51.9951670147971","50.1653698526486","45.4991384819668","43.4691212999525","40.2675102686621","35.7890576263229","31.792195137488","35.7977494008792","48.3646992967727","50.1678007072302","58.057649948503","74.1120102679602","87.5333967088844","100.691205278128","100.979179625851","102.785304638005","103.63285340951","104.794373761616","109.094510163397","140.718678026527","",
"Estonia","EST","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.90922002473909","7.84184333624567","4.06698700265488","3.81132632295459","4.42948490140082","4.86252613950876","5.27335374149869","5.18104567730469","4.94438397132272","4.22953401229437","5.05835096073766","8.22468046659972","7.89764510837486","5.99139330834761","13.5521744483716","13.798476044145","13.9548506685828","13.1227400304449","14.070777375849","13.425576163145","13.5182578013606","14.0695196826515","24.3283641992343","",
"Ethiopia","ETH","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.3529569208809","50.8858787649859","44.3811735667036","73.2874344892619","92.5041549448277","82.6296763565148","72.1500093626094","69.4216870598482","77.9616791099719","85.5546979166054","","","","","","","","","","","","","","10.733283781495","26.9372797365191","27.9431250379303","29.0056900690034","30.0951131996185","32.5332185023587","31.4488486740364","","",
"European Union","EUU","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fragile and conflict affected situations","FCS","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finland","FIN","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.475619549193","17.0154334973518","34.1069451021769","51.6247530191364","58.2474104044739","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fiji","FJI","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.8418217433888","33.6735845779785","36.5383548067393","36.6282593243799","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"France","FRA","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.3639688260044","59.1702064027169","58.2992523257033","57.8188792094656","61.1765498677754","63.6735542410279","64.6424130247374","65.6111738740193","60.9742926849592","59.4874211892694","65.372569489756","77.9477820433769","80.3012997114704","82.2922420615546","90.2797486025496","90.9685436680429","97.5543838512582","97.9803332557022","102.262044850588","102.21526508744","101.622134416787","104.986431520716","123.420008163762","",
"Faroe Islands","FRO","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.6089754283853","25.4416218372326","24.1548813396191","25.2019616988798","27.1151720388805","26.3230241123984","23.3897348085264","29.9431447891386","25.3917774115375","30.9365399321673","23.1123567327134","23.0694398114019","25.4346900041916","",
"Gabon","GAB","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Kingdom","GBR","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.2033709452908","29.1948960284953","30.3997500632281","35.3135500060757","40.4800884599488","87.7215703188362","86.6498900889056","87.7237201929487","89.2703527332974","86.4441394665873","86.528083750569","83.3360624085504","85.0151553846981","85.0318658380755","88.8287300753329","90.4467240521957","90.2384470469052","91.7108221092839","103.407032485339","121.319808364159","129.07297194198","141.584861177747","144.974859921399","139.555030100577","148.49453298809","145.613968908833","153.825029578933","159.196773896678","155.535876893643","157.742819858971","190.772518916415","",
"Georgia","GEO","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.051634865257","46.4029985782603","45.902215196821","56.9064733876267","60.7776033305696","58.5196339627013","56.0323643991609","55.4493025751073","45.5074088345535","36.9156072188349","29.2292335361289","23.090087672862","19.2040626581459","23.4732554299105","30.8567774936061","31.8922535469443","28.3715417191615","28.7960980339586","29.4994246863754","30.9760956175299","36.6506556652424","40.2687241879674","39.3924674203172","38.8877428844334","40.4120355431243","60.0957203249847","",
"Ghana","GHA","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gibraltar","GIB","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
